1043374545|2001-12-03 18:10:40|2001-12-13 18:10:40
1043397459|2001-12-03 18:38:23|2001-12-13 18:38:23
1043402767|2001-12-03 18:44:54|2001-12-13 18:44:54
1043402785|2001-12-03 18:44:55|2001-12-13 18:44:55
1043495702|2001-12-03 20:40:07|2001-12-13 20:40:07
1043506302|2001-12-03 20:59:45|2001-12-13 20:59:45
1043562035|2001-12-04 03:09:56|2001-12-14 03:09:56
1043565691|2001-12-04 04:02:04|2001-12-14 04:02:04
1043608482|2001-12-04 08:10:20|2001-12-14 08:10:20
1043650580|2001-12-04 10:30:55|2001-12-14 10:30:55
1043747228|2001-12-04 14:29:34|2001-12-14 14:29:34
1043749860|2001-12-04 14:36:30|2001-12-14 14:36:30
1043817906|2001-12-04 16:56:27|2001-12-14 16:56:27
1043899828|2001-12-04 18:35:48|2001-12-14 18:35:48
1043930362|2001-12-04 19:04:26|2001-12-14 17:28:51
1043937480|2001-12-04 19:11:42|2001-12-14 19:11:42
1043987329|2001-12-04 20:03:58|2001-12-14 20:03:58
1044027229|2001-12-04 21:00:05|2001-12-14 21:00:05
1044042244|2001-12-04 21:31:58|2001-12-14 21:31:58
1044078197|2001-12-05 00:09:14|2001-12-15 00:09:14
1044100897|2001-12-05 04:47:05|2001-12-15 04:47:05
1044104207|2001-12-05 05:15:30|2001-12-15 05:15:30
1044107651|2001-12-05 05:35:50|2001-12-15 05:35:50
1044123448|2001-12-05 06:59:33|2001-12-15 06:59:33
1044154993|2001-12-05 09:01:01|2001-12-15 09:01:01
1044160600|2001-12-05 09:19:09|2001-12-15 09:19:09
1044214000|2001-12-05 11:41:12|2001-12-15 11:41:12
1044269494|2001-12-05 13:50:27|2001-12-15 13:50:27
1044271868|2001-12-05 13:55:53|2001-12-15 13:55:53
1044279832|2001-12-05 14:13:37|2001-12-15 14:13:37
1044285284|2001-12-05 14:23:20|2001-12-15 14:23:20
1044297318|2001-12-05 14:53:26|2001-12-15 14:53:26
1044300051|2001-12-05 15:02:54|2001-12-15 15:02:54
1044334640|2001-12-05 16:23:34|2001-12-15 16:23:34
1044348163|2001-12-05 16:48:03|2001-12-15 16:48:03
1044361617|2001-12-05 17:10:40|2001-12-15 17:10:40
1044363196|2001-12-05 17:13:54|2001-12-15 17:13:54
1044367519|2001-12-05 17:19:55|2001-12-15 17:19:55
1044387921|2001-12-05 17:51:26|2001-12-15 17:51:26
1044389855|2001-12-05 17:54:27|2001-12-15 17:54:27
1044392363|2001-12-05 17:58:13|2001-12-15 17:58:13
1044407002|2001-12-05 18:14:38|2001-12-15 18:14:38
1044412792|2001-12-05 18:21:35|2001-12-15 18:21:35
1044417566|2001-12-05 18:31:00|2001-12-15 18:31:00
1044429906|2001-12-05 18:43:41|2001-12-15 18:43:41
1044448350|2001-12-05 19:02:12|2001-12-15 19:02:12
1044458000|2001-12-05 19:10:12|2001-12-15 19:10:12
1044517180|2001-12-05 20:19:42|2001-12-10 20:19:42
1044520426|2001-12-05 20:25:46|2001-12-15 20:25:46
1044521948|2001-12-05 20:31:00|2001-12-15 20:31:00
1044527090|2001-12-05 20:36:49|2001-12-15 20:36:49
1044553439|2001-12-05 21:32:20|2001-12-15 21:32:20
1044575304|2001-12-05 23:11:28|2001-12-15 23:11:28
1044583004|2001-12-06 19:19:32|2001-12-16 19:19:32
1044589232|2001-12-06 01:38:26|2001-12-16 01:38:26
1044589406|2001-12-06 01:41:38|2001-12-16 01:41:38
1044638123|2001-12-06 07:52:10|2001-12-16 07:52:10
1044638749|2001-12-06 07:54:39|2001-12-16 07:54:39
1044650862|2001-12-06 08:35:59|2001-12-16 08:35:59
1044652547|2001-12-06 08:41:18|2001-12-16 08:41:18
1044670345|2001-12-06 09:41:46|2001-12-16 09:41:46
1044677094|2001-12-06 09:59:27|2001-12-13 09:59:27
1044682407|2001-12-06 10:14:25|2001-12-16 10:14:25
1044688877|2001-12-06 10:30:44|2001-12-13 10:30:44
1044689408|2001-12-06 10:31:45|2001-12-16 10:31:45
1044698086|2001-12-06 10:53:09|2001-12-16 10:53:09
1044704534|2001-12-06 11:08:18|2001-12-16 11:08:18
1044707198|2001-12-06 11:16:43|2001-12-13 11:16:43
1044709075|2001-12-06 11:19:45|2001-12-16 11:19:45
1044725095|2001-12-06 12:01:05|2001-12-13 12:01:05
1044730246|2001-12-06 12:14:05|2001-12-13 12:14:05
1044731826|2001-12-06 12:17:44|2001-12-13 12:17:44
