1043374545|30.00|NULL|30.00
1043397459|99.99|NULL|99.99
1043402767|4.00|NULL|4.00
1043402785|3.50|NULL|3.50
1043495702|9.99|NULL|28.00
1043506302|6.00|NULL|6.00
1043562035|15.00|NULL|15.00
1043565691|24.95|NULL|24.95
1043608482|7.95|$11.17|7.95
1043650580|24.99|NULL|24.99
1043747228|19.95|NULL|19.95
1043749860|0.99|NULL|197.50
1043817906|6.00|NULL|6.00
1043899828|19.90|NULL|19.90
1043930362|11.99|NULL|11.99
1043937480|9.98|NULL|9.98
1043987329|9.99|NULL|9.99
1044027229|9.99|$51.72|9.99
1044042244|14.99|NULL|47.99
1044078197|6.99|NULL|6.99
1044100897|60.00|NULL|60.00
1044104207|17.50|NULL|17.50
1044107651|3.00|NULL|14.39
1044123448|9.00|NULL|9.00
1044154993|9.00|NULL|9.00
1044160600|5.50|NULL|5.50
1044214000|10.00|NULL|10.00
1044269494|3.50|NULL|3.50
1044271868|9.99|NULL|9.99
1044279832|29.99|NULL|29.99
1044285284|3.50|NULL|3.50
1044297318|2.00|NULL|2.00
1044300051|1.00|NULL|1.25
1044334640|5.00|NULL|5.00
1044348163|32.50|NULL|32.50
1044361617|14.95|NULL|41.00
1044363196|19.99|NULL|39.00
1044367519|115.00|NULL|115.00
1044387921|795.00|NULL|795.00
1044389855|4.99|NULL|4.99
1044392363|33.90|$126.32|33.90
1044407002|199.99|NULL|199.99
1044412792|1.00|$34.29|15.50
1044417566|13.00|NULL|13.00
1044429906|3.05|NULL|3.05
1044448350|1.50|NULL|1.50
1044458000|24.00|NULL|24.00
1044517180|9.95|$20.97|9.95
1044520426|9.99|$97.01|36.00
1044521948|6.99|NULL|6.99
1044527090|6.99|NULL|6.99
1044553439|15.00|NULL|15.00
1044575304|34.50|NULL|34.50
1044583004|4.00|NULL|4.00
1044589232|0.99|$1.21|0.99
1044589406|4.99|NULL|4.99
1044638123|8.50|NULL|8.50
1044638749|150.00|NULL|308.03
1044650862|9.00|NULL|9.00
1044652547|7.00|NULL|7.00
1044670345|5.00|NULL|10.50
1044677094|2.75|NULL|2.75
1044682407|9.00|NULL|26.00
1044688877|5.00|NULL|5.00
1044689408|11.60|NULL|11.60
1044698086|24.99|NULL|24.99
1044704534|6.00|NULL|6.00
1044707198|3.00|NULL|61.10
1044709075|15.00|NULL|15.00
1044725095|99.99|NULL|99.99
1044730246|45.00|NULL|45.00
1044731826|15.00|NULL|16.75
1044753275|7.00|NULL|7.00
1044760560|15.00|NULL|15.00
1044766839|185.00|NULL|185.00
1044769132|19.00|NULL|19.00
1044771169|12.95|NULL|12.95
1044772419|9.95|NULL|9.95
1044774869|7.50|NULL|7.50
1044780959|1.00|NULL|1.00
1044789966|7.95|NULL|7.95
1044790001|9.50|NULL|9.50
1044790439|8.95|NULL|9.60
1044797607|24.99|$96.56|24.99
1044804097|4.50|NULL|4.50
1044808556|9.99|NULL|9.99
1044809898|8.99|NULL|8.99
1044813117|9.99|NULL|9.99
1044819242|3.05|NULL|3.05
1044820175|1.00|NULL|1.00
1044831955|22.00|NULL|46.00
1044843918|14.97|NULL|14.97
1044846301|14.99|$70.69|14.99
1044846316|9.99|$144.44|41.00
1044847509|10.00|NULL|59.00
1044848909|4.00|$23.65|4.00
1044849628|7.50|NULL|7.50
1044850586|14.95|NULL|14.95
1044853098|150.00|NULL|154.01
1044855059|39.99|NULL|39.99
1044855531|8.95|NULL|8.95
1044861783|0.25|NULL|3.25
1044863124|2.50|NULL|2.75
1044863839|34.00|NULL|34.00
1044864736|1.00|$42.88|15.50
1044864943|20.00|NULL|20.00
1044880223|19.99|NULL|26.00
